Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
10/20/2018, 10, 15, 16, 29, 36, 49, 688994, $5400000.00, 27936
10/17/2018, 13, 17, 20, 24, 25, 34, 189753, $5300000.00, 20606
10/15/2018, 1, 14, 20, 21, 43, 44, 949516, $5200000.00, 15444
10/13/2018, 2, 6, 7, 30, 31, 41, 137001, $5100000.00, 29964
10/10/2018, 8, 9, 18, 26, 43, 49, 177302, $5000000.00, 18060
10/8/2018, 6, 8, 18, 19, 44, 45, 848314, $4900000.00, 16520
10/6/2018, 6, 12, 15, 31, 42, 46, 967275, $4800000.00, 24380
10/3/2018, 3, 5, 11, 30, 31, 46, 881192, $4700000.00, 25680
10/1/2018, 9, 24, 25, 26, 39, 48, 605419, $4600000.00, 14010
9/29/2018, 2, 9, 16, 22, 24, 40, 591725, $4500000.00, 25012
9/26/2018, 3, 13, 15, 37, 38, 41, 442061, $4400000.00, 13984
9/24/2018, 11, 21, 22, 32, 34, 45, 140360, $4300000.00, 14144
9/22/2018, 1, 2, 14, 21, 35, 41, 820219, $4200000.00, 24460
9/19/2018, 4, 12, 25, 27, 29, 38, 104540, $4100000.00, 26914
9/17/2018, 3, 27, 32, 45, 48, 49, 555449, $4000000.00, 13118
9/15/2018, 11, 17, 18, 38, 48, 49, 521008, $3900000.00, 16956
9/12/2018, 3, 5, 17, 19, 22, 46, 997312, $3800000.00, 18732
9/10/2018, 17, 26, 29, 34, 35, 37, 998017, $3700000.00, 14528
9/8/2018, 3, 16, 19, 30, 34, 35, 261754, $3600000.00, 20736
9/5/2018, 7, 14, 17, 20, 28, 44, 633760, $3500000.00, 25278
