Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
8/19/2020, 23, 24, 30, 37, 38, 41, 255068, $1800000.00, 13260.00
8/17/2020, 8, 10, 14, 23, 35, 42, 220602, $1700000.00, 14700.00
8/15/2020, 3, 8, 27, 28, 31, 34, 078852, $1600000.00, 19756.00
8/12/2020, 2, 14, 23, 24, 37, 40, 434240, $1500000.00, 16128.00
8/10/2020, 1, 12, 22, 31, 42, 43, 940105, $1400000.00, 15612.00
8/8/2020, 3, 6, 12, 42, 43, 49, 124735, $1300000.00, 17992.00
8/5/2020, 1, 12, 29, 31, 35, 38, 903205, $1200000.00, 17464.00
8/3/2020, 7, 17, 28, 33, 37, 38, 974552, $1100000.00, 10724.00
8/1/2020, 9, 11, 20, 22, 24, 25, 709310, $1000000.00, 36980.00
7/29/2020, 2, 3, 7, 11, 19, 25, 707240, $3500000.00, 3535378.00
7/27/2020, 19, 30, 31, 34, 35, 39, 547560, $3400000.00, 11194.00
7/25/2020, 10, 18, 23, 39, 40, 48, 262802, $3300000.00, 21514.00
7/22/2020, 1, 2, 13, 25, 35, 42, 999927, $3200000.00, 15734.00
7/20/2020, 5, 21, 30, 31, 41, 48, 693750, $3100000.00, 16052.00
7/18/2020, 6, 7, 10, 11, 18, 26, 747178, $3000000.00, 41934.00
7/15/2020, 3, 7, 10, 19, 31, 43, 139356, $2900000.00, 27430.00
7/13/2020, 5, 9, 12, 13, 37, 42, 766794, $2800000.00, 16724.00
7/11/2020, 6, 11, 14, 20, 37, 40, 931499, $2700000.00, 20868.00
7/8/2020, 4, 6, 36, 38, 44, 47, 068454, $2600000.00, 10582.00
7/6/2020, 7, 8, 13, 14, 21, 48, 971164, $2500000.00, 15010.00
7/4/2020, 9, 17, 19, 24, 27, 47, 948456, $2400000.00, 27080.00
7/1/2020, 22, 32, 33, 40, 42, 44, 317539, $2300000.00, 11716.00
6/29/2020, 3, 9, 19, 20, 24, 26, 212577, $2200000.00, 23840.00
6/27/2020, 1, 7, 10, 16, 44, 46, 059677, $2100000.00, 16250.00
6/24/2020, 7, 28, 31, 37, 44, 46, 002085, $2000000.00, 11952.00
6/22/2020, 23, 26, 33, 39, 45, 48, 984244, $1900000.00, 12906.00
6/20/2020, 6, 17, 24, 31, 38, 47, 657952, $1800000.00, 20434.00
6/17/2020, 14, 26, 27, 29, 30, 38, 318038, $1700000.00, 13756.00
6/15/2020, 7, 23, 25, 27, 41, 42, 965276, $1600000.00, 14460.00
6/13/2020, 15, 21, 24, 31, 32, 33, 142648, $1500000.00, 16872.00
6/10/2020, 7, 14, 17, 18, 38, 39, 726190, $1400000.00, 13340.00
6/8/2020, 4, 11, 22, 24, 29, 47, 079989, $1300000.00, 15776.00
6/6/2020, 1, 4, 9, 12, 18, 39, 606875, $1200000.00, 28634.00
6/3/2020, 3, 4, 23, 24, 34, 37, 856558, $1000000.00, 15228.00
6/1/2020, 1, 5, 8, 21, 40, 48, 712496, $1000000.00, 12362.00
5/30/2020, 4, 10, 12, 14, 15, 18, 848294, $1900000.00, 1937162.00
5/27/2020, 10, 20, 23, 29, 31, 42, 586604, $1800000.00, 14622.00
5/25/2020, 5, 7, 28, 32, 45, 46, 497597, $1700000.00, 10532.00
5/23/2020, 9, 11, 18, 36, 40, 42, 187311, $1600000.00, 22734.00
5/20/2020, 4, 12, 16, 18, 19, 45, 578982, $1500000.00, 23824.00
5/18/2020, 11, 21, 22, 30, 43, 47, 396828, $1400000.00, 13334.00
5/16/2020, 17, 22, 23, 29, 31, 37, 447946, $1300000.00, 17260.00
5/13/2020, 16, 20, 23, 25, 37, 49, 909785, $1200000.00, 10802.00
5/11/2020, 14, 24, 29, 32, 43, 49, 686254, $1100000.00, 10246.00
