Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
1/24/2018, 2, 3, 6, 13, 33, 38, 523177, $1500000.00, 22690
1/22/2018, 2, 6, 22, 25, 40, 42, 454493, $1400000.00, 15686
1/20/2018, 6, 15, 33, 34, 43, 47, 829955, $1300000.00, 21212
1/17/2018, 24, 29, 38, 40, 41, 48, 089484, $1200000.00, 13896
1/15/2018, 19, 35, 36, 40, 43, 48, 837241, $1100000.00, 12498
1/13/2018, 5, 12, 18, 24, 31, 48, 554527, $1000000.00, 35984
1/10/2018, 1, 8, 12, 31, 36, 40, 541900, $26800000.00, 2.683196E+07
1/8/2018, 4, 10, 16, 28, 39, 48, 923453, $26700000.00, 29754
1/6/2018, 4, 8, 32, 33, 37, 48, 999577, $26500000.00, 33348
1/3/2018, 1, 3, 10, 31, 35, 44, 398757, $26300000.00, 28514
1/1/2018, 13, 16, 22, 28, 39, 45, 118639, $26200000.00, 17198
12/30/2017, 5, 9, 14, 26, 41, 43, 822274, $26000000.00, 38700
12/27/2017, 26, 27, 39, 40, 44, 46, 387570, $25800000.00, 17658
12/25/2017, 14, 15, 20, 21, 27, 41, 259074, $25700000.00, 16480
12/23/2017, 13, 27, 30, 32, 45, 49, 639542, $25500000.00, 29384
12/20/2017, 12, 23, 26, 32, 35, 45, 910733, $25400000.00, 25978
12/18/2017, 2, 7, 8, 15, 16, 33, 476448, $25300000.00, 22772
12/16/2017, 19, 20, 42, 45, 46, 47, 526508, $25100000.00, 30748
12/13/2017, 1, 2, 9, 11, 24, 39, 843460, $25000000.00, 42460
12/11/2017, 7, 13, 15, 24, 27, 33, 310429, $24800000.00, 28510
12/9/2017, 8, 25, 27, 30, 37, 43, 491652, $24700000.00, 37102
12/6/2017, 2, 7, 8, 36, 40, 42, 564810, $24600000.00, 24834
12/4/2017, 1, 3, 7, 9, 11, 19, 028519, $24500000.00, 82850
12/2/2017, 15, 23, 26, 41, 45, 48, 866336, $24300000.00, 30774
11/29/2017, 1, 4, 7, 22, 36, 39, 309612, $24200000.00, 26122
11/27/2017, 9, 11, 12, 32, 35, 47, 139438, $24000000.00, 22056
11/25/2017, 4, 14, 17, 31, 47, 49, 810684, $23900000.00, 27338
11/22/2017, 3, 4, 42, 43, 48, 49, 506217, $23700000.00, 22696
11/20/2017, 3, 8, 34, 36, 39, 40, 739226, $23600000.00, 24338
11/18/2017, 15, 21, 25, 41, 46, 47, 230854, $23400000.00, 24792
11/15/2017, 4, 20, 21, 31, 40, 48, 066722, $23300000.00, 27576
11/13/2017, 5, 13, 17, 31, 32, 40, 101420, $23200000.00, 27448
11/11/2017, 3, 13, 16, 27, 33, 37, 035817, $23000000.00, 44014
11/8/2017, 2, 4, 9, 20, 31, 47, 914165, $22800000.00, 25682
11/6/2017, 5, 6, 33, 34, 36, 45, 671059, $22700000.00, 23216
11/4/2017, 2, 7, 8, 12, 26, 29, 234393, $22600000.00, 55362
