Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
11/1/2017, 9, 21, 25, 27, 39, 49, 948488, $22400000.00, 19812
10/30/2017, 2, 5, 22, 29, 35, 47, 698993, $22300000.00, 27568
10/28/2017, 1, 5, 14, 17, 35, 47, 648182, $22100000.00, 32452
10/25/2017, 11, 16, 19, 25, 27, 45, 624107, $22000000.00, 27830
10/23/2017, 3, 8, 10, 21, 22, 31, 831367, $21900000.00, 35158
10/21/2017, 11, 15, 19, 39, 45, 47, 408960, $21700000.00, 28130
10/18/2017, 12, 15, 20, 38, 45, 47, 756698, $21600000.00, 27998
10/16/2017, 12, 19, 32, 42, 46, 47, 159579, $21500000.00, 21704
10/14/2017, 1, 13, 24, 27, 38, 42, 533215, $21300000.00, 32276
10/11/2017, 3, 14, 24, 30, 42, 48, 447601, $21200000.00, 26380
10/9/2017, 11, 13, 21, 24, 33, 45, 493666, $21000000.00, 22352
10/7/2017, 4, 10, 12, 40, 45, 48, 931165, $20900000.00, 29716
10/4/2017, 12, 26, 33, 37, 47, 48, 194885, $20700000.00, 22362
10/2/2017, 15, 16, 22, 31, 44, 49, 219162, $20600000.00, 22608
9/30/2017, 1, 14, 16, 19, 24, 37, 194069, $20400000.00, 32616
9/27/2017, 2, 17, 24, 28, 37, 44, 080628, $20300000.00, 26362
9/25/2017, 6, 13, 19, 21, 30, 43, 768554, $20200000.00, 25366
9/23/2017, 1, 4, 26, 41, 42, 44, 231183, $20000000.00, 28554
9/20/2017, 3, 6, 11, 21, 23, 25, 105240, $19900000.00, 48824
9/18/2017, 1, 28, 30, 33, 42, 45, 283152, $19800000.00, 19036
9/16/2017, 4, 12, 20, 23, 43, 48, 997653, $19600000.00, 39918
9/13/2017, 4, 11, 12, 22, 39, 47, 379471, $19500000.00, 27748
9/11/2017, 19, 37, 40, 41, 45, 46, 349289, $19300000.00, 16360
9/9/2017, 2, 14, 26, 30, 34, 49, 808896, $19200000.00, 30058
9/6/2017, 5, 7, 9, 10, 20, 43, 850929, $19000000.00, 39068
9/4/2017, 5, 17, 33, 38, 44, 46, 059398, $18900000.00, 18670
9/2/2017, 5, 10, 28, 30, 31, 45, 472173, $18800000.00, 40712
8/30/2017, 1, 9, 16, 25, 43, 46, 031495, $18600000.00, 24528
8/28/2017, 6, 11, 34, 37, 41, 44, 543176, $18500000.00, 20044
8/26/2017, 7, 17, 22, 32, 35, 42, 444110, $18300000.00, 39310
8/23/2017, 8, 20, 27, 42, 43, 48, 798817, $18200000.00, 30076
8/21/2017, 8, 10, 26, 37, 43, 46, 665724, $18100000.00, 22886
8/19/2017, 25, 26, 28, 32, 36, 38, 047994, $17900000.00, 33102
8/16/2017, 5, 11, 14, 16, 21, 27, 876464, $17800000.00, 40586
8/14/2017, 7, 15, 33, 42, 43, 47, 280333, $17700000.00, 17696
8/12/2017, 18, 26, 30, 31, 44, 45, 405912, $17500000.00, 32762
8/9/2017, 5, 14, 17, 22, 39, 44, 417844, $17400000.00, 29492
8/7/2017, 8, 9, 10, 23, 45, 47, 588952, $17200000.00, 19524
8/5/2017, 1, 10, 13, 21, 24, 41, 076687, $17100000.00, 31846
8/2/2017, 3, 6, 28, 32, 42, 48, 551675, $17000000.00, 21366
7/31/2017, 1, 16, 30, 35, 36, 38, 424933, $16800000.00, 14814
7/29/2017, 12, 15, 17, 22, 36, 48, 585595, $16700000.00, 29410
