Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
5/23/2020,9,11,18,36,40,42,187311, $1600000.00,22734
5/20/2020,4,12,16,18,19,45,578982, $1500000.00,23824
5/18/2020,11,21,22,30,43,47,396828, $1400000.00,13334
5/16/2020,17,22,23,29,31,37,447946, $1300000.00,17260
5/13/2020,16,20,23,25,37,49,909785, $1200000.00,10802
5/11/2020,14,24,29,32,43,49,686254, $1100000.00,10246
5/9/2020,3,16,18,23,25,44,488492, $1000000.00,21008
5/6/2020,10,16,25,29,34,38,85200, $13100000.00,13121972
5/4/2020,3,4,16,28,30,33,972593, $13000000.00,28232
5/2/2020,1,18,27,28,41,49,9118, $12900000.00,22576
4/29/2020,3,7,15,26,42,47,771073, $12800000.00,21198
4/27/2020,1,13,14,22,29,30,546450, $12700000.00,19394
4/25/2020,5,27,32,34,41,48,742508, $12600000.00,21106
4/22/2020,23,31,35,38,44,49,191192, $12500000.00,17192
4/20/2020,6,8,12,21,24,38,347253, $12400000.00,24536
4/18/2020,18,20,32,34,45,46,562080, $12300000.00,17468
4/15/2020,4,5,10,21,27,43,831267, $12200000.00,24262
4/13/2020,1,8,11,17,26,48,618013, $12100000.00,21406
4/11/2020,4,19,24,31,39,47,362088, $12000000.00,23448
4/8/2020,3,8,22,27,40,45,151089, $11900000.00,15900
4/6/2020,6,7,18,21,32,38,44577, $11800000.00,17020
4/4/2020,11,14,27,32,42,47,121235, $11700000.00,27842
4/1/2020,6,20,32,39,43,44,140866, $11600000.00,14862
3/30/2020,1,29,39,43,46,47,975513, $11500000.00,11466
3/28/2020,7,18,19,23,31,36,212649, $11400000.00,26822
3/25/2020,6,7,30,32,38,44,206460, $11300000.00,14172
3/23/2020,15,16,20,26,32,42,832005, $11200000.00,14460
3/21/2020,10,35,36,37,43,49,427301, $11100000.00,20734
3/18/2020,5,10,26,30,48,49,524138, $11000000.00,22924
3/16/2020,29,30,33,39,42,49,303352, $10900000.00,19460
3/14/2020,6,9,20,37,46,47,783823, $10800000.00,20812
3/11/2020,5,13,26,37,40,41,890421, $10700000.00,20592
3/9/2020,7,18,19,24,25,36,231617, $10600000.00,22138
3/7/2020,3,7,9,19,27,32,857841, $10500000.00,54512
3/4/2020,16,20,32,34,44,45,797049, $10400000.00,16594
3/2/2020,2,5,13,20,23,45,623768, $10300000.00,23344
2/29/2020,21,28,33,36,43,48,356117, $10200000.00,23732
2/26/2020,6,31,32,46,47,48,598509, $10100000.00,12426
2/24/2020,2,6,12,16,18,36,6249, $10000000.00,25944
2/22/2020,15,19,28,29,43,46,281061, $9900000.00,26308
2/19/2020,6,18,21,23,36,43,121634, $9800000.00,25478
2/17/2020,7,13,18,21,38,44,441803, $9700000.00,23286
2/15/2020,19,23,28,35,38,44,855459, $9600000.00,29682
2/12/2020,16,18,22,30,36,44,296087, $9500000.00,20918
2/10/2020,3,6,16,18,37,42,813530, $9400000.00,23616
2/8/2020,10,16,31,34,36,46,638367, $9300000.00,20052
2/5/2020,13,17,25,28,33,34,636461, $9200000.00,23900
2/3/2020,10,22,29,38,42,46,392496, $9100000.00,21858
2/1/2020,10,18,20,22,30,47,454586, $9000000.00,35072
1/29/2020,11,16,21,37,38,39,3076, $8900000.00,21384
1/27/2020,11,29,33,38,39,44,585821, $8800000.00,14536
1/25/2020,3,19,22,29,38,41,129432, $8700000.00,29222
1/22/2020,4,5,16,17,39,44,486759, $8600000.00,17706
1/20/2020,14,24,36,43,47,48,397616, $8500000.00,15224
1/18/2020,5,17,28,38,39,48,729692, $8400000.00,23402
1/15/2020,10,12,14,37,40,49,362360, $8300000.00,19452
1/13/2020,14,21,25,28,33,44,367210, $8200000.00,19140
1/11/2020,10,14,22,27,34,36,774351, $8100000.00,26358
1/8/2020,6,13,14,26,34,41,377344, $8000000.00,20612
1/6/2020,3,12,14,24,26,34,378983, $7900000.00,24264
1/4/2020,17,20,35,40,45,48,250796, $7800000.00,26930
1/1/2020,6,7,20,37,42,48,157555, $7700000.00,16942
12/30/2019,1,8,15,18,40,42,680546, $7600000.00,22132
12/28/2019,1,9,12,17,19,27,618357, $7500000.00,49080
12/25/2019,21,27,37,39,42,47,802726, $7400000.00,12768
12/23/2019,4,13,21,22,23,38,608626, $7300000.00,19276
12/21/2019,10,12,22,32,38,46,556749, $7200000.00,25500
12/18/2019,26,28,33,36,44,45,790616, $7100000.00,12832
12/16/2019,1,3,6,16,22,41,631446, $7000000.00,20316
12/14/2019,15,23,30,35,39,42,337187, $6900000.00,21632
12/11/2019,10,24,25,40,48,49,508419, $6800000.00,14028
12/9/2019,11,22,23,37,40,46,192608, $6700000.00,13704
12/7/2019,7,8,17,45,48,49,186633, $6600000.00,23808
12/4/2019,3,5,10,12,25,40,426893, $6500000.00,31504
12/2/2019,8,17,21,23,33,38,931944, $6400000.00,17512
11/30/2019,7,20,21,28,38,39,678525, $6300000.00,25476
11/27/2019,23,25,27,44,45,46,364138, $6200000.00,16996
11/25/2019,10,13,14,27,28,33,193952, $6100000.00,17570
