Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
4/9/2018, 11, 19, 24, 29, 34, 48, 032849, $4700000.00, 16002
4/7/2018, 9, 10, 15, 34, 45, 49, 012971, $4600000.00, 24600
4/4/2018, 3, 17, 20, 30, 32, 46, 021996, $4500000.00, 22682
4/2/2018, 3, 5, 25, 28, 44, 49, 177063, $4400000.00, 16270
3/31/2018, 6, 17, 21, 30, 35, 38, 032409, $4300000.00, 27648
3/28/2018, 7, 12, 15, 23, 33, 47, 213151, $4200000.00, 18738
3/26/2018, 7, 13, 14, 24, 29, 31, 951174, $4100000.00, 22712
3/24/2018, 11, 12, 23, 33, 40, 49, 206843, $4000000.00, 23502
3/21/2018, 6, 16, 18, 37, 40, 45, 812919, $3900000.00, 15996
3/19/2018, 4, 13, 17, 23, 27, 34, 286466, $3800000.00, 17524
3/17/2018, 6, 25, 27, 35, 41, 47, 259205, $3700000.00, 21822
3/14/2018, 9, 12, 18, 22, 31, 38, 941914, $3600000.00, 20448
3/12/2018, 10, 21, 24, 36, 38, 43, 360690, $3500000.00, 12138
3/10/2018, 4, 5, 8, 9, 16, 39, 971756, $3400000.00, 37490
3/7/2018, 22, 25, 29, 35, 36, 46, 878103, $3300000.00, 20202
3/5/2018, 4, 16, 22, 24, 30, 38, 211705, $3200000.00, 21232
3/3/2018, 1, 8, 18, 27, 33, 49, 219374, $3100000.00, 29070
2/28/2018, 1, 12, 18, 23, 24, 34, 308040, $3000000.00, 20736
2/26/2018, 6, 17, 25, 32, 33, 37, 693380, $2900000.00, 12668
2/24/2018, 8, 16, 17, 19, 22, 31, 106820, $2800000.00, 28974
2/21/2018, 14, 18, 20, 27, 31, 39, 151681, $2700000.00, 14106
2/19/2018, 4, 9, 10, 16, 24, 33, 131525, $2600000.00, 22430
2/17/2018, 1, 17, 22, 37, 45, 48, 515854, $2500000.00, 22870
2/14/2018, 1, 6, 29, 33, 37, 41, 333414, $2400000.00, 15312
2/12/2018, 12, 15, 19, 20, 27, 48, 092521, $2300000.00, 12894
2/10/2018, 4, 23, 31, 37, 38, 49, 987669, $2200000.00, 25506
2/7/2018, 1, 10, 24, 33, 38, 49, 975884, $2100000.00, 16392
2/5/2018, 9, 11, 42, 45, 46, 48, 338056, $2000000.00, 12912
2/3/2018, 13, 14, 19, 20, 45, 46, 694162, $1900000.00, 25014
1/31/2018, 10, 21, 23, 24, 35, 38, 125310, $1800000.00, 13568
1/29/2018, 2, 7, 21, 30, 35, 39, 851529, $1700000.00, 16788
1/27/2018, 1, 8, 14, 15, 19, 34, 953921, $1600000.00, 33190
1/24/2018, 2, 3, 6, 13, 33, 38, 523177, $1500000.00, 22690
1/22/2018, 2, 6, 22, 25, 40, 42, 454493, $1400000.00, 15686
1/20/2018, 6, 15, 33, 34, 43, 47, 829955, $1300000.00, 21212
1/17/2018, 24, 29, 38, 40, 41, 48, 089484, $1200000.00, 13896
1/15/2018, 19, 35, 36, 40, 43, 48, 837241, $1100000.00, 12498
1/13/2018, 5, 12, 18, 24, 31, 48, 554527, $1000000.00, 35984
1/10/2018, 1, 8, 12, 31, 36, 40, 541900, $26800000.00, 2.683196E+07
1/8/2018, 4, 10, 16, 28, 39, 48, 923453, $26700000.00, 29754
1/6/2018, 4, 8, 32, 33, 37, 48, 999577, $26500000.00, 33348
1/3/2018, 1, 3, 10, 31, 35, 44, 398757, $26300000.00, 28514
1/1/2018, 13, 16, 22, 28, 39, 45, 118639, $26200000.00, 17198
12/30/2017, 5, 9, 14, 26, 41, 43, 822274, $26000000.00, 38700
12/27/2017, 26, 27, 39, 40, 44, 46, 387570, $25800000.00, 17658
12/25/2017, 14, 15, 20, 21, 27, 41, 259074, $25700000.00, 16480
12/23/2017, 13, 27, 30, 32, 45, 49, 639542, $25500000.00, 29384
12/20/2017, 12, 23, 26, 32, 35, 45, 910733, $25400000.00, 25978
12/18/2017, 2, 7, 8, 15, 16, 33, 476448, $25300000.00, 22772
12/16/2017, 19, 20, 42, 45, 46, 47, 526508, $25100000.00, 30748
12/13/2017, 1, 2, 9, 11, 24, 39, 843460, $25000000.00, 42460
12/11/2017, 7, 13, 15, 24, 27, 33, 310429, $24800000.00, 28510
12/9/2017, 8, 25, 27, 30, 37, 43, 491652, $24700000.00, 37102
12/6/2017, 2, 7, 8, 36, 40, 42, 564810, $24600000.00, 24834
12/4/2017, 1, 3, 7, 9, 11, 19, 028519, $24500000.00, 82850
12/2/2017, 15, 23, 26, 41, 45, 48, 866336, $24300000.00, 30774
11/29/2017, 1, 4, 7, 22, 36, 39, 309612, $24200000.00, 26122
11/27/2017, 9, 11, 12, 32, 35, 47, 139438, $24000000.00, 22056
11/25/2017, 4, 14, 17, 31, 47, 49, 810684, $23900000.00, 27338
11/22/2017, 3, 4, 42, 43, 48, 49, 506217, $23700000.00, 22696
11/20/2017, 3, 8, 34, 36, 39, 40, 739226, $23600000.00, 24338
11/18/2017, 15, 21, 25, 41, 46, 47, 230854, $23400000.00, 24792
11/15/2017, 4, 20, 21, 31, 40, 48, 066722, $23300000.00, 27576
11/13/2017, 5, 13, 17, 31, 32, 40, 101420, $23200000.00, 27448
11/11/2017, 3, 13, 16, 27, 33, 37, 035817, $23000000.00, 44014
11/8/2017, 2, 4, 9, 20, 31, 47, 914165, $22800000.00, 25682
11/6/2017, 5, 6, 33, 34, 36, 45, 671059, $22700000.00, 23216
11/4/2017, 2, 7, 8, 12, 26, 29, 234393, $22600000.00, 55362
11/1/2017, 9, 21, 25, 27, 39, 49, 948488, $22400000.00, 19812
10/30/2017, 2, 5, 22, 29, 35, 47, 698993, $22300000.00, 27568
10/28/2017, 1, 5, 14, 17, 35, 47, 648182, $22100000.00, 32452
10/25/2017, 11, 16, 19, 25, 27, 45, 624107, $22000000.00, 27830
10/23/2017, 3, 8, 10, 21, 22, 31, 831367, $21900000.00, 35158
10/21/2017, 11, 15, 19, 39, 45, 47, 408960, $21700000.00, 28130
10/18/2017, 12, 15, 20, 38, 45, 47, 756698, $21600000.00, 27998
10/16/2017, 12, 19, 32, 42, 46, 47, 159579, $21500000.00, 21704
10/14/2017, 1, 13, 24, 27, 38, 42, 533215, $21300000.00, 32276
