Play Date, 1st, 2nd, 3rd, 4th, 5th, 6th, Kicker, Jackpot Amount, Payouts
10/5/2019, 4, 11, 15, 30, 44, 48, 883939, $3900000.00, 30864
10/2/2019, 1, 19, 24, 32, 34, 40, 489911, $3800000.00, 21254
9/30/2019, 5, 8, 11, 21, 24, 32, 041216, $3700000.00, 21670
9/28/2019, 1, 13, 15, 21, 28, 36, 582621, $3600000.00, 23976
9/25/2019, 15, 25, 27, 33, 35, 43, 911770, $3500000.00, 15014
9/23/2019, 1, 9, 13, 38, 45, 49, 707631, $3400000.00, 12074
9/21/2019, 6, 10, 19, 20, 28, 47, 041089, $3300000.00, 23480
9/18/2019, 18, 26, 30, 36, 42, 45, 304834, $3200000.00, 12708
9/16/2019, 3, 12, 15, 24, 32, 40, 862988, $3100000.00, 23708
9/14/2019, 8, 20, 24, 26, 36, 41, 098679, $3000000.00, 18782
9/11/2019, 1, 4, 21, 30, 32, 44, 768974, $2900000.00, 16272
9/9/2019, 8, 12, 23, 30, 34, 43, 550469, $2800000.00, 21558
9/7/2019, 5, 10, 26, 34, 35, 44, 816537, $2700000.00, 23322
9/4/2019, 12, 24, 37, 41, 42, 48, 488369, $2600000.00, 11662
9/2/2019, 4, 5, 29, 32, 41, 46, 486741, $2500000.00, 11958
8/31/2019, 9, 18, 31, 35, 39, 42, 206239, $2400000.00, 28232
8/28/2019, 3, 6, 26, 40, 41, 46, 399421, $2300000.00, 12094
8/26/2019, 19, 25, 26, 28, 48, 49, 451859, $2200000.00, 12076
8/24/2019, 2, 9, 26, 38, 44, 48, 994269, $2100000.00, 22448
8/21/2019, 11, 24, 26, 28, 44, 45, 879077, $2000000.00, 17734
8/19/2019, 1, 5, 20, 32, 40, 49, 887381, $1900000.00, 17356
8/17/2019, 4, 19, 28, 33, 37, 45, 979010, $1800000.00, 25840
8/14/2019, 16, 19, 22, 34, 38, 44, 233704, $1700000.00, 11608
8/12/2019, 6, 15, 32, 34, 36, 42, 426042, $1600000.00, 11624
8/10/2019, 18, 20, 28, 29, 46, 47, 446082, $1500000.00, 17286
8/7/2019, 3, 15, 28, 37, 38, 49, 750508, $1400000.00, 15762
8/5/2019, 9, 23, 24, 28, 34, 49, 192218, $1300000.00, 18714
8/3/2019, 13, 36, 37, 41, 46, 47, 387529, $1200000.00, 24328
7/31/2019, 11, 21, 26, 27, 32, 40, 072664, $1100000.00, 13284
7/29/2019, 8, 22, 27, 35, 41, 45, 550487, $1000000.00, 14426
7/27/2019, 6, 13, 20, 21, 27, 35, 819888, $18700000.00, 1.873373E+07
7/24/2019, 2, 6, 12, 27, 37, 38, 874841, $18600000.00, 27202
7/22/2019, 8, 11, 26, 28, 31, 44, 268141, $18500000.00, 23502
7/20/2019, 2, 5, 9, 14, 23, 24, 151342, $18300000.00, 44420
7/17/2019, 1, 14, 18, 26, 44, 45, 603292, $18200000.00, 24732
7/15/2019, 6, 11, 28, 32, 44, 46, 624047, $18100000.00, 22878
7/13/2019, 5, 14, 19, 21, 22, 42, 839642, $17900000.00, 37664
7/10/2019, 1, 11, 12, 23, 32, 47, 494918, $17800000.00, 23980
7/8/2019, 4, 14, 15, 16, 32, 35, 399993, $17700000.00, 24078
7/6/2019, 2, 10, 11, 24, 35, 37, 084578, $17600000.00, 34660
7/3/2019, 5, 7, 26, 32, 38, 49, 068994, $17400000.00, 25062
7/1/2019, 4, 6, 29, 31, 34, 35, 219035, $17300000.00, 18560
6/29/2019, 1, 9, 10, 12, 29, 35, 875792, $17200000.00, 52264
6/26/2019, 3, 4, 23, 25, 26, 39, 650100, $17100000.00, 22672
6/24/2019, 1, 6, 21, 22, 47, 48, 500616, $17000000.00, 22436
6/22/2019, 6, 25, 30, 32, 37, 45, 521836, $16800000.00, 28084
6/19/2019, 5, 10, 13, 22, 27, 48, 273647, $16700000.00, 28540
6/17/2019, 15, 20, 21, 29, 39, 42, 978106, $16500000.00, 14898
6/15/2019, 6, 8, 14, 17, 22, 29, 479922, $16400000.00, 41110
6/12/2019, 5, 13, 24, 26, 46, 49, 856803, $16300000.00, 21000
6/10/2019, 9, 10, 12, 23, 32, 35, 344462, $16200000.00, 27560
6/8/2019, 9, 10, 13, 14, 34, 46, 725408, $16000000.00, 31180
6/5/2019, 12, 15, 25, 34, 42, 45, 743910, $15900000.00, 20924
6/3/2019, 1, 25, 26, 33, 34, 35, 387155, $15800000.00, 19002
6/1/2019, 2, 20, 35, 39, 45, 47, 773161, $15600000.00, 22986
5/29/2019, 9, 23, 25, 27, 32, 48, 770667, $15500000.00, 22988
5/27/2019, 5, 10, 19, 25, 38, 39, 439954, $15400000.00, 30368
5/25/2019, 2, 8, 24, 31, 35, 49, 509563, $15300000.00, 24978
5/22/2019, 4, 10, 16, 22, 25, 49, 342743, $15100000.00, 30100
5/20/2019, 1, 9, 11, 19, 33, 34, 935317, $15000000.00, 28002
5/18/2019, 5, 17, 20, 28, 30, 38, 718812, $14900000.00, 32640
5/15/2019, 2, 7, 29, 30, 33, 41, 791667, $14800000.00, 21100
5/13/2019, 14, 24, 28, 38, 39, 40, 858522, $14700000.00, 19346
5/11/2019, 3, 9, 12, 24, 28, 30, 431107, $14500000.00, 60796
5/8/2019, 10, 18, 19, 35, 39, 48, 409147, $14400000.00, 20592
5/6/2019, 8, 11, 15, 18, 33, 48, 668597, $14300000.00, 18416
5/4/2019, 2, 5, 12, 17, 19, 39, 334887, $14200000.00, 42660
5/1/2019, 13, 21, 30, 31, 35, 48, 774428, $14000000.00, 19860
4/29/2019, 12, 16, 17, 21, 24, 36, 080035, $13900000.00, 23854
4/27/2019, 4, 6, 14, 30, 32, 42, 116131, $13800000.00, 31774
4/24/2019, 4, 23, 27, 29, 35, 36, 644656, $13600000.00, 18230
4/22/2019, 7, 13, 16, 17, 30, 32, 034925, $13500000.00, 18542
4/20/2019, 4, 8, 20, 21, 25, 30, 918458, $13400000.00, 42940
4/17/2019, 3, 17, 21, 35, 46, 49, 777989, $13300000.00, 21436
4/15/2019, 1, 8, 12, 22, 28, 41, 335629, $13200000.00, 21534
4/13/2019, 5, 9, 17, 21, 29, 36, 377531, $13000000.00, 41730
4/10/2019, 3, 11, 15, 17, 20, 43, 468466, $12900000.00, 28724
